product-link href,media-image__image src,product-link,money-amount__main,product-grid-product-info-colors__text
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,https://static.zara.net/assets/public/2f82/054a/be4f49bea266/7c5257525dd6/09252406800-e1/09252406800-e1.jpg?ts=1736847183990&w=289,RELAXED FIT BERMUDA SHORTS,29.95 EUR,3
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,https://static.zara.net/assets/public/02cd/7e89/2d624615a685/86c82895dab4/09252406707-e1/09252406707-e1.jpg?ts=1736847175745&w=289,RELAXED FIT BERMUDA SHORTS,29.95 EUR,3
https://www.zara.com/de/en/relaxed-fit-bermuda-shorts-p09252406.html,https://static.zara.net/assets/public/ad87/484b/8967480fa632/cc6f87a2e9c3/09252406500-e1/09252406500-e1.jpg?ts=1736847177408&w=289,RELAXED FIT BERMUDA SHORTS,29.95 EUR,3
https://www.zara.com/de/en/100-linen-pleated-trousers-p04410234.html,https://static.zara.net/assets/public/2db4/ea5c/8fc0455e8d25/bd7f13e67435/04410234052-e1/04410234052-e1.jpg?ts=1743693212128&w=289,100% LINEN PLEATED TROUSERS,49.95 EUR,3
https://www.zara.com/de/en/basic-slim-fit-t-shirt-p05584361.html,https://static.zara.net/assets/public/369c/031d/d4884682a8cd/d4730b777104/05584401403-e1/05584401403-e1.jpg?ts=1743693147365&w=289,BASIC SLIM FIT T-SHIRT,12.95 EUR,7
https://www.zara.com/de/en/100-linen-pleated-trousers-p04410234.html,https://static.zara.net/assets/public/114e/fbf6/bbc4477eb754/68a504ab33a0/04410234250-e1/04410234250-e1.jpg?ts=1743693203485&w=289,100% LINEN PLEATED TROUSERS,49.95 EUR,3
https://www.zara.com/de/en/textured-crochet-shirt-p07200420.html,https://static.zara.net/assets/public/880c/a35f/a2d94e508018/e4436732cb94/07200420400-e1/07200420400-e1.jpg?ts=1741163750508&w=289,TEXTURED CROCHET SHIRT,49.95 EUR,2
https://www.zara.com/de/en/regular-fit-cotton-jacket-p04725343.html,https://static.zara.net/assets/public/f7f6/9cfb/a6bb4c598154/30c7e7dffe60/04725343401-e1/04725343401-e1.jpg?ts=1743520049793&w=289,REGULAR FIT COTTON JACKET,49.95 EUR,2
https://www.zara.com/de/en/baggy-fit-bermuda-jorts-p04365409.html,https://static.zara.net/assets/public/d14e/09fb/42794eca8fef/126c88760cdb/04365409427-e1/04365409427-e1.jpg?ts=1743519998720&w=289,BAGGY-FIT BERMUDA JORTS,39.95 EUR,
https://www.zara.com/de/en/textured-crochet-shirt-p07200420.html,https://static.zara.net/assets/public/b5d1/b48a/2ffc4a8a9257/fffee9e531e3/07200420064-e1/07200420064-e1.jpg?ts=1741163756714&w=289,TEXTURED CROCHET SHIRT,49.95 EUR,2
https://www.zara.com/de/en/cotton-lyocell-pleated-trousers-p06861419.html,https://static.zara.net/assets/public/6eaf/98b3/f941425ab03c/b443ff9aefba/06861419401-e1/06861419401-e1.jpg?ts=1743578361649&w=289,COTTON/LYOCELL PLEATED TROUSERS,49.95 EUR,
https://www.zara.com/de/en/floral-print-shirt-p04622300.html,https://static.zara.net/assets/public/02cd/8efd/9a3a4eb7bf33/5314949b3aaf/04622300403-e1/04622300403-e1.jpg?ts=1743520022805&w=289,FLORAL PRINT SHIRT,39.95 EUR,
https://www.zara.com/de/en/regular-fit-cotton-jacket-p04725343.html,https://static.zara.net/assets/public/65aa/9f18/a1294fa6b5d6/edb1268bb13f/04725343052-e1/04725343052-e1.jpg?ts=1743520050921&w=289,REGULAR FIT COTTON JACKET,49.95 EUR,2
https://www.zara.com/de/en/casual-leather-loafers-p12613520.html,https://static.zara.net/assets/public/3fed/04ab/bf9c4dad83fb/c9f4749d9c97/12613525800-e1/12613525800-e1.jpg?ts=1743071122478&w=289,CASUAL LEATHER LOAFERS,59.95 EUR,4
https://www.zara.com/de/en/textured-jacquard-shirt-p02878310.html,https://static.zara.net/assets/public/c643/a3c0/00ce4dc18cfe/e47d17e12cb8/02878310710-e1/02878310710-e1.jpg?ts=1742224745844&w=289,TEXTURED JACQUARD SHIRT,45.95 EUR,2
https://www.zara.com/de/en/geometric-jacquard-shirt-p01618375.html,https://static.zara.net/assets/public/25e4/89de/30304fda9904/f5eee7131a74/01618375800-e1/01618375800-e1.jpg?ts=1739892763451&w=289,GEOMETRIC JACQUARD SHIRT,39.95 EUR,1
https://www.zara.com/de/en/wide-fit-jogging-trousers-p00761440.html,https://static.zara.net/assets/public/847c/a423/a419400aae62/f625467ce909/00761440803-e1/00761440803-e1.jpg?ts=1743094097738&w=289,WIDE FIT JOGGING TROUSERS,29.95 EUR,2
https://www.zara.com/de/en/geometric-print-jacquard-bermuda-shorts-p01618376.html,https://static.zara.net/assets/public/ba0c/7dc5/e0d54514842f/de8358259495/01618376800-e1/01618376800-e1.jpg?ts=1739892766956&w=289,GEOMETRIC PRINT JACQUARD BERMUDA SHORTS,39.95 EUR,1
https://www.zara.com/de/en/limited-edition-suede-leather-jacket-p04416403.html,https://static.zara.net/assets/public/028f/3d6e/32a24237a90e/a4b1e91df0f5/04416403510-e1/04416403510-e1.jpg?ts=1742465945597&w=289,LIMITED EDITION SUEDE LEATHER JACKET,199.00 EUR,
https://www.zara.com/de/en/vertical-textured-polo-shirt-p00526460.html,https://static.zara.net/assets/public/d19e/b123/33944a4d971a/9d0e735c3d00/00526460428-e1/00526460428-e1.jpg?ts=1741163756068&w=289,VERTICAL TEXTURED POLO SHIRT,25.95 EUR,6
https://www.zara.com/de/en/textured-jogger-bermuda-shorts-p03992406.html,https://static.zara.net/assets/public/7011/0549/48814fdab250/d0d5c21210bd/03992406800-e1/03992406800-e1.jpg?ts=1736952695358&w=289,TEXTURED JOGGER BERMUDA SHORTS,29.95 EUR,4
https://www.zara.com/de/en/textured-jogger-bermuda-shorts-p03992406.html,https://static.zara.net/assets/public/db36/3b44/be984fcb9bf3/0b28b3cc042d/03992406922-e1/03992406922-e1.jpg?ts=1736952835880&w=289,TEXTURED JOGGER BERMUDA SHORTS,29.95 EUR,4
https://www.zara.com/de/en/pearl-knit-polo-shirt-with-zip-p03284446.html,https://static.zara.net/assets/public/8da6/a7b5/46fa4cee9f78/2c6ad9336152/03284446306-e1/03284446306-e1.jpg?ts=1736330728108&w=289,PEARL KNIT POLO SHIRT WITH ZIP,39.95 EUR,3
